2018-08-29 03:58:36->由于目标计算机积极拒绝，无法连接。 172.18.114.203:9002
2018-08-29 03:58:36 055	连接设备失败!
2018-08-29 04:10:41 855	心跳应答：55 AA 66 06 00 E0 00 01 55 86 5B 00 09 
2018-08-29 04:10:47 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:10:47 055	心跳应答：55 AA 67 06 00 E0 00 07 55 86 5B 00 0E 
2018-08-29 04:10:51 855	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:10:51 855	心跳应答：55 AA 68 06 00 E0 00 0B 55 86 5B 00 0D 
2018-08-29 04:10:57 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:10:57 055	心跳应答：55 AA 69 06 00 E0 00 11 55 86 5B 00 16 
2018-08-29 04:11:01 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:01 854	心跳应答：55 AA 6A 06 00 E0 00 15 55 86 5B 00 11 
2018-08-29 04:11:07 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:07 055	心跳应答：55 AA 6B 06 00 E0 00 1B 55 86 5B 00 1E 
2018-08-29 04:11:11 855	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:11 855	心跳应答：55 AA 6C 06 00 E0 00 1F 55 86 5B 00 1D 
2018-08-29 04:11:17 054	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:17 055	心跳应答：55 AA 6D 06 00 E0 00 25 55 86 5B 00 26 
2018-08-29 04:11:21 855	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:21 855	心跳应答：55 AA 6E 06 00 E0 00 29 55 86 5B 00 29 
2018-08-29 04:11:27 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:27 055	心跳应答：55 AA 6F 06 00 E0 00 2F 55 86 5B 00 2E 
2018-08-29 04:11:31 855	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:31 855	心跳应答：55 AA 70 06 00 E0 00 33 55 86 5B 00 2D 
2018-08-29 04:11:37 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:37 055	心跳应答：55 AA 71 06 00 E0 00 39 55 86 5B 00 26 
2018-08-29 04:11:41 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:41 854	心跳应答：55 AA 72 06 00 E0 00 3D 55 86 5B 00 21 
2018-08-29 04:11:47 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:47 055	心跳应答：55 AA 73 06 00 E0 00 43 55 86 5B 00 5E 
2018-08-29 04:11:51 855	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:51 855	心跳应答：55 AA 74 06 00 E0 00 47 55 86 5B 00 5D 
2018-08-29 04:11:57 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:11:57 055	心跳应答：55 AA 75 06 00 E0 00 4D 55 86 5B 00 56 
2018-08-29 04:12:01 855	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:01 855	心跳应答：55 AA 76 06 00 E0 00 51 55 86 5B 00 49 
2018-08-29 04:12:07 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:07 055	心跳应答：55 AA 77 06 00 E0 00 57 55 86 5B 00 4E 
2018-08-29 04:12:11 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:11 854	心跳应答：55 AA 78 06 00 E0 00 5B 55 86 5B 00 4D 
2018-08-29 04:12:17 055	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:17 055	心跳应答：55 AA 79 06 00 E0 00 61 55 86 5B 00 76 
2018-08-29 04:12:21 456	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:21 456	心跳应答：55 AA 7A 06 00 E0 00 65 55 86 5B 00 71 
2018-08-29 04:12:26 256	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:26 256	心跳应答：55 AA 7B 06 00 E0 00 6A 55 86 5B 00 7F 
2018-08-29 04:12:31 456	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:31 456	心跳应答：55 AA 7C 06 00 E0 00 6F 55 86 5B 00 7D 
2018-08-29 04:12:36 256	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:36 256	心跳应答：55 AA 7D 06 00 E0 00 74 55 86 5B 00 67 
2018-08-29 04:12:41 056	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:41 056	心跳应答：55 AA 7E 06 00 E0 00 79 55 86 5B 00 69 
2018-08-29 04:12:46 256	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:46 256	心跳应答：55 AA 7F 06 00 E0 00 7E 55 86 5B 00 6F 
2018-08-29 04:12:51 056	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:51 056	心跳应答：55 AA 80 06 00 E0 00 83 55 86 5B 00 6D 
2018-08-29 04:12:56 255	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:12:56 256	心跳应答：55 AA 81 06 00 E0 00 88 55 86 5B 00 67 
